timestamp,page,address,hex_addr,raw_value,decimal_value,low_byte,high_byte,binary
2025-09-25 12:06:43.533,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:43.649,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:43.764,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:43.879,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:43.981,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:44.083,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:44.184,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:44.286,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:44.388,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:44.490,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:44.592,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:44.695,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:44.798,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:44.901,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.016,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.118,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.221,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.325,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.427,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.530,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.635,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.738,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.843,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:45.955,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:46.060,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:46.171,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:46.279,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:46.395,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:46.501,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:46.604,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:46.707,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:46.822,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:46.932,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.035,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.140,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.242,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.345,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.456,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.571,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.673,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.775,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.878,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:47.985,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:48.091,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:48.194,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:48.304,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:48.406,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:48.508,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:48.611,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:48.713,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:48.815,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:48.917,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:49.021,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:49.125,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:49.236,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
